company,company_id,company_size,country,country_iso3,bundle_id,industry,year,indicator,value,unit_of_measure,sub_code,id
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Employee turnover,185,number_of_employees,401-1-b,31071849
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Gross direct (Scope 1) GHG emissions,502.3,Metric tons of CO2-equivalent,305-1-a,31071860
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,189221.6,Metric tons of CO2-equivalent,305-2-a,22187657
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Gross other indirect (Scope 3) GHG emissions,4218.92,Metric tons of CO2-equivalent,305-3-a,31131715
Country Foods Ltd,38551,Large,South Africa,ZAF,43048,Processed Foods,2025,Total weight or volume of materials used in produced and packaged products,1000,Metric tons,301-1-a,30260793
Zhongxin Fruit and Juice Ltd,11364,Small,Singapore,SGP,39277,Processed Foods,2025,Gross location-based energy indirect (Scope 2) GHG emissions,2430,Metric tons of CO2-equivalent,305-2-a,14463805
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight of non-hazardous waste directed to disposal,250.3,Metric tons,306-5-c,31071893
"Herbalife International, Inc.",4261,Large,United States,USA,28540,Processed Foods,2025,Gross direct (Scope 1) GHG emissions,7535,Metric tons of CO2-equivalent,305-1-a,8884797
Zhongxin Fruit and Juice Ltd,11364,Small,Singapore,SGP,39277,Processed Foods,2025,Gross market-based energy indirect (Scope 2) GHG emissions,2430,Metric tons of CO2-equivalent,305-2-b,14463150
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Gross market-based energy indirect (Scope 2) GHG emissions,3563.5,Metric tons of CO2-equivalent,305-2-b,31071842
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight of waste directed to disposal,250.3,Metric tons,306-5-a,31071867
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Gross other indirect (Scope 3) GHG emissions,6064,Metric tons of CO2-equivalent,305-3-a,31071843
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight of waste diverted from disposal,250.3,Metric tons,306-4-a,31071872
Famous Brands Ltd,20685,Medium,South Africa,ZAF,60189,Processed Foods,2025,Water withdrawal from all areas,393385,m3,303-3-a,31131719
Old Chang Kee Ltd.,11345,Large,Singapore,SGP,59941,Processed Foods,2025,Total weight of waste generated,250.3,Metric tons,306-3-a,31071816
Ardent Mills,100180,Large,United States,USA,60472,Processed Foods,2025,Total weight of waste diverted from disposal,7840,Metric tons,306-4-a,30677127
