bundle_id,company,year,tier,country
18630,Mondelez International Inc,2020,A,United States
18641,Mondelez International Inc,2021,A,United States
18642,Mondelez International Inc,2022,A,United States
18726,"General Mills, Inc.",2022,B,United States
18727,"General Mills, Inc.",2023,B,United States
18733,"General Mills, Inc.",2019,B,United States
18734,"General Mills, Inc.",2020,B,United States
18735,"General Mills, Inc.",2021,B,United States
18919,Orior AG,2019,B,Switzerland
18990,Bonduelle SCA,2022,B,France
18996,Bonduelle SCA,2023,B,France
18997,Bonduelle SCA,2024,B,France
19922,Greencore Group PLC,2021,B,Ireland
19923,Greencore Group PLC,2023,B,Ireland
19924,Greencore Group PLC,2024,B,Ireland
20637,Orkla ASA,2018,B,Norway
20638,Orkla ASA,2019,B,Norway
20639,Orkla ASA,2023,B,Norway
20649,"Post Holdings, Inc.",2019,B,United States
20650,"Post Holdings, Inc.",2021,B,United States
20661,"Post Holdings, Inc.",2022,B,United States
20662,"Post Holdings, Inc.",2023,B,United States
21191,Maple Leaf Foods Inc,2019,B,Canada
21192,Maple Leaf Foods Inc,2020,B,Canada
21193,Maple Leaf Foods Inc,2021,B,Canada
21194,Maple Leaf Foods Inc,2022,B,Canada
21195,Maple Leaf Foods Inc,2023,B,Canada
21486,Ajinomoto Co Inc,2023,B,Japan
22040,Daesang Corp,2023,B,"Korea, Rep."
22050,Ottogi Corp,2023,B,"Korea, Rep."
22561,Britannia Industries Ltd,2022,B,India
22562,Britannia Industries Ltd,2023,B,India
22932,Vidrala SA,2019,B,Spain
22933,Vidrala SA,2022,B,Spain
23261,Tiger Brands Ltd,2021,B,South Africa
23262,Tiger Brands Ltd,2022,B,South Africa
23263,Tiger Brands Ltd,2023,B,South Africa
23721,Agthia Group PJSC,2021,B,United Arab Emirates
23722,Agthia Group PJSC,2022,B,United Arab Emirates
23723,Agthia Group PJSC,2023,B,United Arab Emirates
23878,Dabur India Ltd,2021,B,India
23879,Dabur India Ltd,2022,B,India
23880,Dabur India Ltd,2023,B,India
