topic_name,category_name,bundle_id,year,company,industry,country
Energy Conservation and GHG Emissions Reduction,Climate change and GHG emissions,39241,2024,Hosen Group Ltd,Processed Foods,Singapore
Corruption,Anti-corruption,37973,2021,SunOpta Inc,Processed Foods,Canada
Product quality,Product quality and safety,47686,2024,Tara Health Foods Ltd,Processed Foods,India
Sustainable management water,Water management,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Identifying climate risks,Risk management,28923,2022,Lotte Wellfood Co Ltd,Processed Foods,"Korea, Rep."
Energy Management,Energy,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Energy efficiency measures,Energy,38430,2023,Utz Brands Inc,Processed Foods,United States
Security Practices,Data security and customer privacy,19782,2020,Kellogg Company,Processed Foods,United States
Environmental Management System,Environmental management,59259,2024,Denis Asia Pacific Pte Ltd,Processed Foods,Singapore
Employee Health & Work Culture,Occupational health and safety,38280,2024,Britannia Industries Ltd,Processed Foods,India
Customer service standards,Corporate governance,39241,2024,Hosen Group Ltd,Processed Foods,Singapore
Fair remuneration,Employee attraction and retention,30725,2022,Zhongxin Fruit and Juice Ltd,Processed Foods,Singapore
Regulatory compliance,Compliance with laws and regulations,38430,2023,Utz Brands Inc,Processed Foods,United States
Environmental Compliance,Compliance with laws and regulations,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
"Climate change, Emissions and Energy",Climate change and GHG emissions,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Community engagement,Local communities and rights of indigenous peoples,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Health and Safety,Occupational health and safety,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Workplace Diversity and Equality,"Diversity, equal opportunity and non-discrimination",39241,2024,Hosen Group Ltd,Processed Foods,Singapore
GHG emissions,Climate change and GHG emissions,39053,2023,Viciunai Group,Processed Foods,Lithuania
climate change impacts,Climate change and GHG emissions,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Human rights,"Human rights, child labor, forced or compulsory labor",31788,2022,Glanbia plc,Processed Foods,Ireland
Occupational health and safety,Occupational health and safety,30725,2022,Zhongxin Fruit and Juice Ltd,Processed Foods,Singapore
Economic Performance,Economic performance,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Promoting Healthy Eating,Access & affordability,46693,2023,QAF Ltd,Processed Foods,Singapore
material EESG topics,Other,46693,2023,QAF Ltd,Processed Foods,Singapore
Employee engagement development,Employee attraction and retention,31788,2022,Glanbia plc,Processed Foods,Ireland
Sustainable sourcing policy,Supply chain and procurement practices,56269,2023,Danone,Processed Foods,France
Violence and harassment prevention,"Diversity, equal opportunity and non-discrimination",39053,2023,Viciunai Group,Processed Foods,Lithuania
Additives,Product quality and safety,31814,2023,Nomad Foods Limited,Processed Foods,United Kingdom
health and well-being,Other,47686,2024,Tara Health Foods Ltd,Processed Foods,India
carbon emissions reduction,Climate change and GHG emissions,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Human Rights,"Human rights, child labor, forced or compulsory labor",38273,2021,Barilla,Processed Foods,Italy
Economic contributions community,Local communities and rights of indigenous peoples,31788,2022,Glanbia plc,Processed Foods,Ireland
Social Impact of Products,Product quality and safety,37973,2021,SunOpta Inc,Processed Foods,Canada
Enhancement local communities,Local communities and rights of indigenous peoples,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Tax,Tax,19782,2020,Kellogg Company,Processed Foods,United States
Service quality,Product quality and safety,44869,2021,JC Comsa Corp,Processed Foods,Japan
